contribution	rho	eta	metric	estimate	se	lower	upper	n
access	1.0	0.0	broker_selected_rank	0.007020634253505897	0.0014512469228679993	0.003983139535057134	0.01005812897195466	20
access	1.0	0.0	mean_degree	33.29537750000001	1.4650697010654246	30.228951374285284	36.361803625714735	20
access	1.0	0.0	net_output_per_requested_position	-0.04623090878247993	0.0060424118155225975	-0.05887782205900971	-0.03358399550595015	20
access	1.0	0.0	outsourcing_rate	0.005821656318068083	0.006214416367051357	-0.007185266622279105	0.01882857925841527	20
access	1.0	0.0	q_gap	-0.030999442387905578	0.024025884893730347	-0.08128619739892842	0.019287312623117274	20
access	1.0	0.0	rank_gap	0.010679831144465277	0.006568775939448998	-0.003068774904820019	0.024428437193750575	20
access	1.0	0.0	self_fill_rate	-1.5967030347813216e-5	1.2932708919582865e-5	-4.303550120516106e-5	1.1101440509534622e-5	20
access	1.0	0.0	self_net_output_per_requested_position	-0.0247631079901685	0.016153088198089596	-0.058571910141749006	0.009045694161412005	20
access	1.0	0.01	access_fraction	0.012280543671844406	0.006037734235412361	-0.000356579316998229	0.02491766666068704	20
access	1.0	0.01	agent_holdout_rank	-0.08164733583489683	0.009110186829364349	-0.10071517600891018	-0.06257949566088349	20
access	1.0	0.01	betweenness	-0.32417841444857515	0.009798111641625222	-0.3446860978022748	-0.30367073109487547	20
access	1.0	0.01	broker_fill_rate	0.0009318410976055569	0.0004275245358875557	3.702196014315415e-5	0.0018266602350679596	20
access	1.0	0.01	broker_holdout_rank	-0.01266910881801126	0.004958987762904113	-0.02304838949128602	-0.0022898281447364995	20
access	1.0	0.01	broker_net_output_per_requested_position	0.07445070755836421	0.01767091852701321	0.0374650500178361	0.11143636509889232	20
access	1.0	0.01	broker_selected_rank	0.0024453720340924636	0.004250719894019217	-0.006451486952641698	0.011342231020826626	20
access	1.0	0.01	mean_degree	3.539264999999999	0.7867894217967828	1.892495814425327	5.186034185574671	20
access	1.0	0.01	net_output_per_requested_position	0.09411797394034553	0.0083413091444838	0.07665941325568494	0.11157653462500612	20
access	1.0	0.01	outsourcing_rate	0.03689188225876401	0.01602722039547907	0.003346524445722851	0.07043724007180517	20
access	1.0	0.01	q_gap	-0.09190590789202749	0.062021816628288366	-0.22171906199313632	0.03790724620908134	20
access	1.0	0.01	rank_gap	0.06897822701688558	0.010558542579204147	0.04687894341911694	0.09107751061465422	20
access	1.0	0.01	self_fill_rate	-0.0002700851569433116	0.00022503224095058577	-0.0007410830502702942	0.00020091273638367109	20
access	1.0	0.01	self_net_output_per_requested_position	0.15040018846731004	0.04956905584730419	0.04665096222459349	0.2541494147100266	20
access	1.0	0.03	access_fraction	0.020496011788377615	0.007513983737347674	0.004769063081676083	0.03622296049507914	20
access	1.0	0.03	agent_holdout_rank	-0.06193568480300189	0.005380831180408243	-0.0731978938963066	-0.05067347570969718	20
access	1.0	0.03	betweenness	-0.5333926936554512	0.009991287569377904	-0.5543046988726699	-0.5124806884382325	20
access	1.0	0.03	broker_fill_rate	0.0005760274324841941	0.00018570889940822816	0.00018733423890507947	0.0009647206260633087	20
access	1.0	0.03	broker_holdout_rank	-0.022069090056285167	0.004426066326413502	-0.031332953343875244	-0.012805226768695086	20
